Trx,FPKM_mean_F,Linkage
CAF2743046.1,0.131254666666667,Auto
CAF2743068.1,0.0981491666666667,Auto
CAF2743082.1,0.0566483333333333,Auto
CAF2743106.1,1.36167816666667,Auto
CAF2743130.1,24.0395216666667,Auto
CAF2743141.1,0.168731666666667,Auto
CAF2743196.1,46.6455026666667,Auto
CAF2743209.1,0,Auto
CAF2743222.1,0,Auto
CAF2743233.1,0.0959284166666667,Auto
CAF2743256.1,0,Auto
CAF2743281.1,0.022435,Auto
CAF2743293.1,1.47015283333333,Auto
CAF2743297.1,11.3877045,Auto
CAF2743499.1,0.0667451333333333,Auto
CAF2743510.1,0,Auto
CAF2743522.1,0,Auto
CAF2743534.1,0,Auto
CAF2743546.1,0,Auto
CAF2743559.1,0.619590833333333,Auto
CAF2743571.1,0.0249337833333333,Auto
CAF2743599.1,0.07508,Auto
CAF2743610.1,0.43246,Auto
CAF2743634.1,0.0240256666666667,Auto
CAF2743646.1,0.0196326666666667,Auto
CAF2743657.1,0.271289316666667,Auto
CAF2743669.1,6.67428666666667e-06,Auto
CAF2743680.1,34.9670738333333,Auto
CAF2743704.1,0.201420166666667,Auto
CAF2743716.1,1.31340033333333,Auto
CAF2743729.1,0.580219666666667,Auto
CAF2743741.1,0,Auto
CAF2743753.1,4.18242833333333,Auto
CAF2743764.1,4.18242833333333,Auto
CAF2743776.1,2.14329883333333,Auto
CAF2743800.1,0,Auto
CAF2743811.1,865.463666666667,Auto
CAF2743824.1,439.80843,Auto
CAF2743837.1,302.223896666667,Auto
CAF2743869.1,1.11267066666667,Auto
CAF2743882.1,8.03363333333333e-09,Auto
CAF2743895.1,0.144453,Auto
CAF2743907.1,0.0385338333333333,Auto
CAF2743926.1,0.054615,Auto
CAF2743939.1,0.585209833333333,Auto
CAF2743964.1,23.2368833333333,Auto
CAF2743977.1,0.0354731666666667,Auto
CAF2743990.1,17.38545,Auto
CAF2744002.1,20.1006166666667,Auto
CAF2744015.1,0.2421285,Auto
CAF2744053.1,0.0453377333333333,Auto
CAF2744065.1,0,Auto
CAF2744078.1,0.0568015,Auto
CAF2744090.1,0.0185768333333333,Auto
CAF2744134.1,94.0205341666667,Auto
CAF2744147.1,0,Auto
CAF2744162.1,0.79261665,Auto
CAF2744175.1,0.0272279166666667,Auto
CAF2744189.1,0.334575816666667,Auto
CAF2744213.1,0,Auto
CAF2744250.1,0.200148666666667,Auto
CAF2744263.1,0.0835134333333333,Auto
CAF2744276.1,0.113060166666667,Auto
CAF2744309.1,2031.9648005,Auto
CAF2744341.1,0.0433810333333333,Auto
CAF2744358.1,15.6573666666667,Auto
CAF2744375.1,0,Auto
CAF2744387.1,0,Auto
CAF2744400.1,0,Auto
CAF2744412.1,0,Auto
CAF2744425.1,0,Auto
CAF2744442.1,0.5910345,Auto
CAF2744455.1,0.890312166666667,Auto
CAF2744476.1,15.8309616666667,Auto
CAF2744509.1,2.75627301666667,Auto
CAF2744524.1,11.125175,Auto
CAF2744623.1,0.0651628333333333,Auto
CAF2744636.1,0.160288,Auto
CAF2744649.1,0.481701666666667,Auto
CAF2744667.1,7.73253666666667,Auto
CAF2744681.1,0.118111,Auto
CAF2744694.1,0,Auto
CAF2744721.1,0.779128833333333,Auto
CAF2744748.1,1.14244575,Auto
CAF2744773.1,0.649014166666667,Auto
CAF2744805.1,0.879958666666667,Auto
CAF2744834.1,0.1077205,Auto
CAF2744878.1,0,Auto
CAF2744885.1,0.14163605,Auto
CAF2744898.1,0.200213333333333,Auto
CAF2744927.1,0.0844820166666667,Auto
CAF2744944.1,0.363843833333333,Auto
CAF2744967.1,27.3985305,Auto
CAF2744981.1,11.8353466666667,Auto
CAF2745009.1,7.7519945,Auto
CAF2745021.1,9.99393383333333,Auto
CAF2745048.1,2.756333,Auto
CAF2745061.1,1.08787983333333,Auto
CAF2745088.1,0,Auto
CAF2745100.1,1.13518483333333,Auto
CAF2745118.1,1.691446,Auto
CAF2745131.1,0.168633666666667,Auto
CAF2745143.1,0,Auto
CAF2745174.1,0.847128,Auto
CAF2745186.1,0,Auto
CAF2745199.1,14.4298616666667,Auto
CAF2745244.1,0,Auto
CAF2745274.1,0,Auto
CAF2745285.1,1.450283,Auto
CAF2745308.1,0.0942018333333333,Auto
CAF2745320.1,1.09492816666667,Auto
CAF2745333.1,7.57302166666667,Auto
CAF2745347.1,0.284594666666667,Auto
CAF2745360.1,0,Auto
CAF2745388.1,0,Auto
CAF2745402.1,0.0392121666666667,Auto
CAF2745414.1,1.99428566666667,Auto
CAF2745432.1,0.870602166666667,Auto
CAF2745445.1,0.263234,Auto
CAF2745467.1,50.83546,Auto
CAF2745480.1,3.90286133333333,Auto
CAF2745494.1,0.0829215,Auto
CAF2745546.1,0,Auto
CAF2745567.1,0,Auto
CAF2745577.1,1.27193266666667,Auto
CAF2745590.1,54.5281833333333,Auto
CAF2745601.1,0,Auto
CAF2745626.1,0,Auto
CAF2745639.1,1.723693,Auto
CAF2745669.1,0.147084333333333,Auto
CAF2745684.1,348.049595,Auto
CAF2745702.1,0.0458718333333333,Auto
CAF2745716.1,10.0701213333333,Auto
CAF2745728.1,73.3261233333333,Auto
CAF2745743.1,169.54923,Auto
CAF2745772.1,21.6781483333333,Auto
CAF2745795.1,2.420388,Auto
CAF2745813.1,1.06607516666667,Auto
CAF2745824.1,0.0572661666666667,Auto
CAF2745837.1,0.0738941666666667,Auto
CAF2745859.1,2.88787166666667,Auto
CAF2745877.1,1.84812383333333,Auto
CAF2745890.1,0.351383166666667,Auto
CAF2745908.1,0.3167303,Auto
CAF2745941.1,6.302228,Auto
CAF2745952.1,0.0932026666666667,Auto
CAF2745975.1,5.0413295,Auto
CAF2745989.1,0.645298,Auto
CAF2746030.1,0.4974035,Auto
CAF2746042.1,0.17349,Auto
CAF2746056.1,0.297889833333333,Auto
CAF2746077.1,0.283754833333333,Auto
CAF2746109.1,0,Auto
CAF2746131.1,1.60226146666667,Auto
CAF2746144.1,0.5601872,Auto
CAF2746157.1,0.675030333333333,Auto
CAF2746170.1,8.83902266666667,Auto
CAF2746182.1,10.1915821666667,Auto
CAF2746195.1,58.703025,Auto
CAF2746208.1,81.972475,Auto
CAF2746230.1,0,Auto
CAF2746243.1,0,Auto
CAF2746288.1,0.266551133333333,Auto
CAF2746306.1,0,Auto
CAF2746319.1,0,Auto
CAF2746341.1,135.413885833333,Auto
CAF2746359.1,18.4729595,Auto
CAF2746378.1,0,Auto
CAF2746391.1,0.0277239833333333,Auto
CAF2746410.1,0,Auto
CAF2746475.1,0.0717276666666667,Auto
CAF2746496.1,0,Auto
CAF2746515.1,0,Auto
CAF2746529.1,48.5790333333333,Auto
CAF2746538.1,1.65791116666667,Auto
CAF2746551.1,8.42672,Auto
CAF2746557.1,0.0519785,Auto
CAF2746578.1,0.5364635,Auto
CAF2746600.1,1.12714016666667,Auto
CAF2746613.1,34.3519066666667,Auto
CAF2746627.1,1.43541666930718,Auto
CAF2746640.1,2.1474,Auto
CAF2746653.1,29.9195766666667,Auto
CAF2746665.1,0.419861666666667,Auto
CAF2746701.1,0.337564833333333,Auto
CAF2746741.1,0.0547491666666667,Auto
CAF2746749.1,0,Auto
CAF2746770.1,329.820861166667,Auto
CAF2746786.1,7.05212083333333,Auto
CAF2746801.1,0.763141166666667,Auto
CAF2746827.1,20.4341753333333,Auto
CAF2746842.1,14.6394733333333,Auto
CAF2746862.1,0,Auto
CAF2746876.1,0,Auto
CAF2746894.1,0.6370785,Auto
CAF2746918.1,0.0150998833333333,Auto
CAF2746929.1,3.88646783333333,Auto
CAF2746943.1,12.9132766666667,Auto
CAF2746956.1,104.916416666667,Auto
CAF2746969.1,0.997333333333333,Auto
CAF2746995.1,8.9279195,Auto
CAF2747017.1,0.811857,Auto
CAF2747030.1,0,Auto
CAF2747055.1,0.742157833333333,Auto
CAF2747082.1,0.322664166666667,Auto
CAF2747101.1,0,Auto
CAF2747133.1,0,Auto
CAF2747147.1,0.2465255,Auto
CAF2747171.1,0.576807166666667,Auto
CAF2747185.1,0.0398585,Auto
CAF2747231.1,0,Auto
CAF2747250.1,7.78342433333333,Auto
CAF2747270.1,0.497077,Auto
CAF2747286.1,64.3085366666667,Auto
CAF2747304.1,0,Auto
CAF2747333.1,0.551224,Auto
CAF2747361.1,0.423105233333333,Auto
CAF2747392.1,0,Auto
CAF2747405.1,0,Auto
CAF2747418.1,0,Auto
CAF2747460.1,5.14433666666667,Auto
CAF2747487.1,331.103984833333,Auto
CAF2747509.1,0.506246833333333,Auto
CAF2747530.1,0,Auto
CAF2747538.1,0,Auto
CAF2747552.1,0,Auto
CAF2747572.1,0.164642333333333,Auto
CAF2747597.1,0,Auto
CAF2747618.1,0.228472333333333,Auto
CAF2747626.1,0,Auto
CAF2747657.1,89.82259,Auto
CAF2747670.1,57.9030166666667,Auto
CAF2747683.1,0.110874895333333,Auto
CAF2747721.1,0,Auto
CAF2747743.1,0.220858333333333,Auto
CAF2747755.1,0.4379785,Auto
CAF2747773.1,0,Auto
CAF2747792.1,0.127332166666667,Auto
CAF2747805.1,0.524529166666667,Auto
CAF2747844.1,0.180191666666667,Auto
CAF2747865.1,0,Auto
CAF2747887.1,149.63855,Auto
CAF2747900.1,0.315403666666667,Auto
CAF2747913.1,164.38715,Auto
CAF2747925.1,95.49598,Auto
CAF2747958.1,0.265936666666667,Auto
CAF2747972.1,0.0521736666666667,Auto
CAF2747996.1,7.41923766666667,Auto
CAF2748024.1,0,Auto
CAF2748036.1,0,Auto
