Trx,FPKM_mean_M,Linkage
CAF2743046.1,0.219443333333333,Auto
CAF2743068.1,0.0737426666666667,Auto
CAF2743082.1,0.148145666666667,Auto
CAF2743106.1,2.45572666666667,Auto
CAF2743130.1,22.975565,Auto
CAF2743141.1,0.677088333333333,Auto
CAF2743196.1,47.6190046666667,Auto
CAF2743209.1,0.0793498333333333,Auto
CAF2743222.1,0.135264166666667,Auto
CAF2743233.1,0.2320418,Auto
CAF2743256.1,0,Auto
CAF2743281.1,0.5754775,Auto
CAF2743293.1,0.826164666666667,Auto
CAF2743297.1,27.4383633333333,Auto
CAF2743499.1,0.500333166666667,Auto
CAF2743510.1,0.0139647733283333,Auto
CAF2743522.1,0,Auto
CAF2743534.1,0,Auto
CAF2743546.1,0,Auto
CAF2743559.1,2.040845,Auto
CAF2743571.1,0.0344678333333333,Auto
CAF2743599.1,0.284336666666667,Auto
CAF2743610.1,0.369398833333333,Auto
CAF2743634.1,0.1270965,Auto
CAF2743646.1,0.186735,Auto
CAF2743657.1,0.0161448666666667,Auto
CAF2743669.1,4.19123333333333e-07,Auto
CAF2743680.1,30.5119833333333,Auto
CAF2743704.1,0.950030333333333,Auto
CAF2743716.1,0.179113333333333,Auto
CAF2743729.1,0.379226833333333,Auto
CAF2743741.1,0.246259333333333,Auto
CAF2743753.1,2.710989,Auto
CAF2743764.1,2.710989,Auto
CAF2743776.1,0.8850805,Auto
CAF2743800.1,0,Auto
CAF2743811.1,426.065273333333,Auto
CAF2743824.1,173.72766,Auto
CAF2743837.1,48.9765365,Auto
CAF2743869.1,1.09166716666667,Auto
CAF2743882.1,2.56184233333333e-09,Auto
CAF2743895.1,0.0217326666666667,Auto
CAF2743907.1,0.04309485,Auto
CAF2743926.1,0,Auto
CAF2743939.1,0.503768666666667,Auto
CAF2743964.1,21.8552666666667,Auto
CAF2743977.1,0.112956333333333,Auto
CAF2743990.1,15.6012583333333,Auto
CAF2744002.1,18.7438583333333,Auto
CAF2744015.1,0.605140666666667,Auto
CAF2744053.1,0.14425865,Auto
CAF2744065.1,0,Auto
CAF2744078.1,0,Auto
CAF2744090.1,0.0176475,Auto
CAF2744134.1,29.3488841666667,Auto
CAF2744147.1,0,Auto
CAF2744162.1,0.37759725,Auto
CAF2744175.1,0.0865389166666667,Auto
CAF2744189.1,0.0903186666666667,Auto
CAF2744213.1,0,Auto
CAF2744250.1,0.3609505,Auto
CAF2744263.1,0.171350133333333,Auto
CAF2744276.1,0.0595123333333333,Auto
CAF2744309.1,14.945483,Auto
CAF2744341.1,0.0652248666666667,Auto
CAF2744358.1,19.6091866666667,Auto
CAF2744375.1,0.0257188333333333,Auto
CAF2744387.1,0,Auto
CAF2744400.1,0,Auto
CAF2744412.1,0,Auto
CAF2744425.1,0.384241666666667,Auto
CAF2744442.1,0.306155333333333,Auto
CAF2744455.1,0.475073333333333,Auto
CAF2744476.1,11.7122053333333,Auto
CAF2744509.1,0.556738833333333,Auto
CAF2744524.1,13.6478853333333,Auto
CAF2744623.1,0,Auto
CAF2744636.1,0,Auto
CAF2744649.1,0.219493333333333,Auto
CAF2744667.1,5.88227083333333,Auto
CAF2744681.1,0.050211,Auto
CAF2744694.1,0.075568,Auto
CAF2744721.1,1.04209116666667,Auto
CAF2744748.1,1.61093816666667,Auto
CAF2744773.1,1.30203033333333,Auto
CAF2744805.1,0.3958425,Auto
CAF2744834.1,0.0776066666666667,Auto
CAF2744878.1,0,Auto
CAF2744885.1,0.198697,Auto
CAF2744898.1,0,Auto
CAF2744927.1,0.1866615,Auto
CAF2744944.1,0.716697333333333,Auto
CAF2744967.1,31.3777116666667,Auto
CAF2744981.1,14.6485666666667,Auto
CAF2745009.1,4.73667666666667,Auto
CAF2745021.1,8.47804283333333,Auto
CAF2745048.1,2.60624816666667,Auto
CAF2745061.1,0.385279166666667,Auto
CAF2745088.1,0,Auto
CAF2745100.1,0,Auto
CAF2745118.1,1.508074,Auto
CAF2745131.1,0.356981666666667,Auto
CAF2745143.1,0.350268666666667,Auto
CAF2745174.1,0.7087045,Auto
CAF2745186.1,0.0294141666666667,Auto
CAF2745199.1,7.28272,Auto
CAF2745244.1,0,Auto
CAF2745274.1,0,Auto
CAF2745285.1,1.94803233333333,Auto
CAF2745308.1,0.0330686666666667,Auto
CAF2745320.1,7.346229,Auto
CAF2745333.1,2.58459616666667,Auto
CAF2745347.1,0.271048,Auto
CAF2745360.1,0.0252121666666667,Auto
CAF2745388.1,0,Auto
CAF2745402.1,0.0452925,Auto
CAF2745414.1,1.24559566666667,Auto
CAF2745432.1,0.969414833333333,Auto
CAF2745445.1,0.523910666666667,Auto
CAF2745467.1,9.86289116666667,Auto
CAF2745480.1,6.00975933333333,Auto
CAF2745494.1,0.458612833333333,Auto
CAF2745546.1,0,Auto
CAF2745567.1,0.119024666666667,Auto
CAF2745577.1,0.103137166666667,Auto
CAF2745590.1,0.3284635,Auto
CAF2745601.1,0.310185,Auto
CAF2745626.1,0.0204721666666667,Auto
CAF2745639.1,0.503590833333333,Auto
CAF2745669.1,0.123765666666667,Auto
CAF2745684.1,3.54444166666667,Auto
CAF2745702.1,0.479053333333333,Auto
CAF2745716.1,11.4698266666667,Auto
CAF2745728.1,27.642515,Auto
CAF2745743.1,48.579425,Auto
CAF2745772.1,27.79326,Auto
CAF2745795.1,2.05245533333333,Auto
CAF2745813.1,0.561292833333333,Auto
CAF2745824.1,0,Auto
CAF2745837.1,0.6884475,Auto
CAF2745859.1,4.089335,Auto
CAF2745877.1,0.683986666666667,Auto
CAF2745890.1,0.105038666666667,Auto
CAF2745908.1,1.043203,Auto
CAF2745941.1,5.97529183333333,Auto
CAF2745952.1,0.108183333333333,Auto
CAF2745975.1,1.205713,Auto
CAF2745989.1,1.17131933333333,Auto
CAF2746030.1,2.9040905,Auto
CAF2746042.1,1.14515333333333,Auto
CAF2746056.1,0.301061666666667,Auto
CAF2746077.1,1.10575033333333,Auto
CAF2746109.1,0,Auto
CAF2746131.1,0.659316666666667,Auto
CAF2746144.1,0.600383433333333,Auto
CAF2746157.1,0.873078683333333,Auto
CAF2746170.1,1.13522,Auto
CAF2746182.1,8.59027166666667,Auto
CAF2746195.1,29.8037166666667,Auto
CAF2746208.1,21.898495,Auto
CAF2746230.1,0.0316425,Auto
CAF2746243.1,0,Auto
CAF2746288.1,0,Auto
CAF2746306.1,0,Auto
CAF2746319.1,0,Auto
CAF2746341.1,119.550058333333,Auto
CAF2746359.1,8.31538966666667,Auto
CAF2746378.1,0,Auto
CAF2746391.1,0,Auto
CAF2746410.1,0.3464505,Auto
CAF2746475.1,0.0359405,Auto
CAF2746496.1,0,Auto
CAF2746515.1,0,Auto
CAF2746529.1,26.5269066666667,Auto
CAF2746538.1,2.2107755,Auto
CAF2746551.1,9.43916,Auto
CAF2746557.1,0.332183833333333,Auto
CAF2746578.1,0.453337,Auto
CAF2746600.1,2.82962,Auto
CAF2746613.1,35.98065,Auto
CAF2746627.1,13.0046703671667,Auto
CAF2746640.1,59.8083166666667,Auto
CAF2746653.1,14.8217,Auto
CAF2746665.1,14.7197101666667,Auto
CAF2746701.1,0.364175,Auto
CAF2746741.1,0.268498666666667,Auto
CAF2746749.1,0.030388,Auto
CAF2746770.1,2.57446316666667,Auto
CAF2746786.1,5.272625,Auto
CAF2746801.1,0.482588333333333,Auto
CAF2746827.1,9.00257,Auto
CAF2746842.1,29.9380266666667,Auto
CAF2746862.1,0,Auto
CAF2746876.1,0.0673428333333333,Auto
CAF2746894.1,0.767822333333333,Auto
CAF2746918.1,0,Auto
CAF2746929.1,7.03186,Auto
CAF2746943.1,17.49761,Auto
CAF2746956.1,114.02895,Auto
CAF2746969.1,0.873466666666667,Auto
CAF2746995.1,4.683913,Auto
CAF2747017.1,0.147282333333333,Auto
CAF2747030.1,0.510086666666667,Auto
CAF2747055.1,0.691856833333333,Auto
CAF2747082.1,0.055631,Auto
CAF2747101.1,0,Auto
CAF2747133.1,0,Auto
CAF2747147.1,0.110338666666667,Auto
CAF2747171.1,1.03235583333333,Auto
CAF2747185.1,0.150341333333333,Auto
CAF2747231.1,0,Auto
CAF2747250.1,1.88962516666667,Auto
CAF2747270.1,0.0327908333333333,Auto
CAF2747286.1,23.5474033333333,Auto
CAF2747304.1,0,Auto
CAF2747333.1,0.125854,Auto
CAF2747361.1,1.1493205,Auto
CAF2747392.1,0,Auto
CAF2747405.1,0,Auto
CAF2747418.1,0,Auto
CAF2747460.1,9.20547683333333,Auto
CAF2747487.1,291.48651,Auto
CAF2747509.1,0.743815,Auto
CAF2747530.1,0,Auto
CAF2747538.1,0.0208051666666667,Auto
CAF2747552.1,0,Auto
CAF2747572.1,0.15588,Auto
CAF2747597.1,0,Auto
CAF2747618.1,0.0965105,Auto
CAF2747626.1,0,Auto
